cluster	entrezgene_id	external_gene_name	Number of datasets	max(|logFC|)	logFC	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
cluster_1	7503.0	XIST	4.0	5.07662975751278	5.07662975751278									
cluster_1	1116.0	CHI3L1	8.0	3.64854383323948	3.64854383323948									
cluster_1	245932.0	DEFB119	1.0	3.18153403312172	3.18153403312172									
cluster_1	3957.0	LGALS2	1.0	3.06887478891177	3.06887478891177									
cluster_1	1356.0	CP	15.0	3.03789765624607	3.03789765624607									
cluster_1	1490.0	CCN2	1.0	2.98617582876647	2.98617582876647									
cluster_1	6279.0	S100A8	4.0	2.78423898098073	2.78423898098073									
cluster_1	6563.0	SLC14A1	12.0	2.70376412014691	2.70376412014691									
cluster_1	3310.0	HSPA6	3.0	2.55647721088805	2.55647721088805									
cluster_1	4256.0	MGP	2.0	2.40855626878742	2.40855626878742									
cluster_1	28984.0	RGCC	6.0	2.314489459856	2.314489459856									
cluster_1	929.0	CD14	6.0	2.24466166151732	2.24466166151732									
cluster_1	3040.0	HBA2	5.0	2.22533947571278	2.22533947571278									
cluster_1	3039.0	HBA1	5.0	2.22533947571278	2.22533947571278									
cluster_1	2215.0	FCGR3B	8.0	2.20410535738329	2.20410535738329									
cluster_1	645832.0	SEBOX	2.0	2.19591203216451	2.19591203216451									
cluster_1	2846.0	LPAR4	5.0	2.17028943830986	2.17028943830986									
cluster_1	9173.0	IL1RL1	6.0	2.10907296288511	2.10907296288511									
cluster_1	91947.0	ARRDC4	6.0	2.09261872087536	2.09261872087536									
cluster_1	3315.0	HSPB1	8.0	2.05508228235896	2.05508228235896									
cluster_1	6347.0	CCL2	4.0	2.04932365657179	2.04932365657179									
cluster_1	4599.0	MX1	2.0	2.0492033146727	2.0492033146727									
cluster_1	151636.0	DTX3L	6.0	2.04823023178133	2.04823023178133									
cluster_1	100507008.0		6.0	2.04754199879888	2.04754199879888									
cluster_1	10610.0	ST6GALNAC2	4.0	2.02244560930921	2.02244560930921									
cluster_1	10457.0	GPNMB	9.0	2.01451594498987	2.01451594498987									
cluster_1	2635.0	GBP3	8.0	1.99905725661213	1.99905725661213									
cluster_1	56245.0	C21orf62	6.0	1.97942436005977	1.97942436005977									
cluster_1	56245.0	C21orf62	6.0	1.97942436005977	1.97942436005977									
cluster_1	301.0	ANXA1	8.0	1.97439762160014	1.97439762160014									
cluster_1	2210.0	FCGR1BP	9.0	1.96100627464774	1.96100627464774									
cluster_1	84166.0	NLRC5	5.0	1.95201536906083	1.95201536906083									
cluster_1	84617.0	TUBB6	6.0	1.94983016115056	1.94983016115056									
cluster_1	1992.0	SERPINB1	10.0	1.88970941151585	1.88970941151585									
cluster_1	253650.0	ANKRD18A	4.0	1.88284820190263	1.88284820190263									
cluster_1	100289137.0	ANKRD18A	4.0	1.88284820190263	1.88284820190263									
cluster_1	25890.0	ABI3BP	4.0	1.87062190424358	1.87062190424358									
cluster_1	10797.0	MTHFD2	7.0	1.8518233607709	1.8518233607709									
cluster_1	285.0	ANGPT2	8.0	1.82801696035314	1.82801696035314									
cluster_1	3122.0	HLA-DRA	9.0	1.7872778750945	1.7872778750945									
cluster_1	3122.0	HLA-DRA	9.0	1.7872778750945	1.7872778750945									
cluster_1	3122.0	HLA-DRA	9.0	1.7872778750945	1.7872778750945									
cluster_1	3122.0	HLA-DRA	9.0	1.7872778750945	1.7872778750945									
cluster_1	3122.0	HLA-DRA	9.0	1.7872778750945	1.7872778750945									
cluster_1	3122.0	HLA-DRA	9.0	1.7872778750945	1.7872778750945									
cluster_1	3122.0	HLA-DRA	9.0	1.7872778750945	1.7872778750945									
cluster_1	3122.0	HLA-DRA	9.0	1.7872778750945	1.7872778750945									
cluster_1	146802.0	SLC47A2	6.0	1.77734615678537	1.77734615678537									
cluster_1	714.0	C1QC	7.0	1.75387788437205	1.75387788437205									
cluster_1	257177.0	CFAP126	6.0	1.75291298371088	1.75291298371088									
cluster_1	2202.0	EFEMP1	9.0	1.72757519713903	1.72757519713903									
cluster_1	378938.0	MALAT1	11.0	1.7152501490325	1.7152501490325									
cluster_1	2214.0	FCGR3A	7.0	1.70426734552507	1.70426734552507									
cluster_1	7076.0	TIMP1	7.0	1.69842366527499	1.69842366527499									
cluster_1	64850.0	ETNPPL	4.0	1.68999692409134	1.68999692409134									
cluster_1	4501.0	MT1X	7.0	1.68957188675074	1.68957188675074									
cluster_1	2162.0	F13A1	4.0	1.68872332305554	1.68872332305554									
cluster_1	200162.0	SPAG17	2.0	1.64939950171812	1.64939950171812									
cluster_1	25780.0	RASGRP3	2.0	1.64476314750716	1.64476314750716									
cluster_1	563.0	AZGP1	9.0	1.64451809320196	1.64451809320196									
cluster_1	153643.0	FAM81B	5.0	1.64112366808913	1.64112366808913									
cluster_1	713.0	C1QB	8.0	1.63759498666588	1.63759498666588									
cluster_1	10437.0	IFI30	6.0	1.63686993427351	1.63686993427351									
cluster_1	221074.0	SLC39A12	5.0	1.63268355605412	1.63268355605412									
cluster_1	2302.0	FOXJ1	3.0	1.63031367418134	1.63031367418134									
cluster_1	7103.0	TSPAN8	1.0	1.61505800447572	1.61505800447572									
cluster_1	55214.0	P3H2	9.0	1.6144426780351	1.6144426780351									
cluster_1	100885781.0	LINC00348	2.0	1.61255160781098	1.61255160781098									
cluster_1	154141.0	MBOAT1	2.0	1.60754297645426	1.60754297645426									
cluster_1	358.0	AQP1	10.0	1.60407184316591	1.60407184316591									
cluster_1	4071.0	TM4SF1	7.0	1.59890168175811	1.59890168175811									
cluster_1	361.0	AQP4	10.0	1.59219059757387	1.59219059757387									
cluster_1	83641.0	FAM107B	5.0	1.5895284869019	1.5895284869019									
cluster_1	401551.0	WDR38	3.0	1.58932401557015	1.58932401557015									
cluster_1	144535.0	CFAP54	5.0	1.5758781361471	1.5758781361471									
cluster_1	165.0	AEBP1	11.0	1.57043901741895	1.57043901741895									
cluster_1	202151.0	RANBP3L	6.0	1.56775546302288	1.56775546302288									
cluster_1	284.0	ANGPT1	9.0	1.56328194887238	1.56328194887238									
cluster_1	9531.0	BAG3	9.0	1.55528359054105	1.55528359054105									
cluster_1	5996.0	RGS1	4.0	1.54741257022857	1.54741257022857									
cluster_1	9332.0	CD163	6.0	1.54667722590401	1.54667722590401									
cluster_1	2207.0	FCER1G	7.0	1.542569718372	1.542569718372									
cluster_1	54443.0	ANLN	4.0	1.54049905510563	1.54049905510563									
cluster_1	5355.0	PLP2	7.0	1.53958291016241	1.53958291016241									
