Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__positive regulation of neuron death (GO:1901216),0.8997995991983969,2.126126352763188,0.0,0.11949850423128405,0.094,4/4,10.74%,DKK1;FOS;DDIT4;EGR1
prerank,GO_Biological_Process_2021__positive regulation of cell death (GO:0010942),0.6920032472595257,2.071205630507059,0.0018832391713747645,0.09745984566403904,0.154,5/7,10.74%,DKK1;FOS;SLC6A6;DDIT4;EGR1
prerank,GO_Biological_Process_2021__positive regulation of protein kinase activity (GO:0045860),0.6436496880214324,2.0569951818478414,0.005555555555555556,0.07738017896943804,0.178,5/8,12.72%,DKK1;LTF;RELN;EGR1;EFNA1
prerank,GO_Biological_Process_2021__regulation of neuron death (GO:1901214),0.6511764172252819,1.975407509633794,0.001869158878504673,0.13566018718059705,0.337,5/7,20.08%,DKK1;FOS;DDIT4;EGR1;GPNMB
prerank,GO_Biological_Process_2021__lipid transport (GO:0006869),-0.8196392785571142,-1.960195234027437,0.002066115702479339,0.7096021447518417,0.408,4/4,18.89%,FABP5;FABP3;SLC10A4;CETP
prerank,GO_Biological_Process_2021__regulation of cell cycle phase transition (GO:1901987),-0.86,-1.8276007133449035,0.002028397565922921,1.0,0.785,3/3,14.71%,TCIM;PSMB9;PSMB8
prerank,GO_Biological_Process_2021__regulation of establishment of planar polarity (GO:0090175),-0.86,-1.8143734353045078,0.00202020202020202,0.6251135440637627,0.807,3/3,14.71%,PSMB9;AP2M1;PSMB8
prerank,"GO_Biological_Process_2021__Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",-0.86,-1.8143734353045078,0.00202020202020202,0.6251135440637627,0.807,3/3,14.71%,PSMB9;AP2M1;PSMB8
prerank,GO_Biological_Process_2021__cation transport (GO:0006812),0.7726575597813412,1.8095118464487876,0.0,0.4938618510935527,0.79,3/4,4.97%,SLC6A6;LRP2;KCNJ13
prerank,GO_Biological_Process_2021__cell morphogenesis involved in differentiation (GO:0000904),0.878,1.8090724366792441,0.003787878787878788,0.41285753715972323,0.79,3/3,12.72%,OPHN1;RELN;EFNA1
prerank,GO_Biological_Process_2021__NIK/NF-kappaB signaling (GO:0038061),-0.86,-1.8058417442800503,0.005964214711729622,0.5319463559938267,0.827,3/3,14.71%,CHI3L1;PSMB9;PSMB8
prerank,GO_Biological_Process_2021__regulation of immune response (GO:0050776),0.7014883504875847,1.8056366964853217,0.009074410163339383,0.365212056257203,0.799,4/5,15.11%,COL2A1;FCGR3A;FCGR3B;HLA-DRA
prerank,GO_Biological_Process_2021__import into cell (GO:0098657),0.8560000000000001,1.7836188999616984,0.009124087591240875,0.38347265907006317,0.841,3/3,14.91%,SLC6A6;LRP2;SLC1A3
prerank,GO_Biological_Process_2021__negative regulation of signal transduction (GO:0009968),0.4943851235075063,1.777938453770706,0.01876172607879925,0.3547951947121913,0.851,5/11,6.56%,DKK1;LTF;CYP26B1;KANK1;DDIT4
prerank,GO_Biological_Process_2021__positive regulation of neurogenesis (GO:0050769),0.755511022044088,1.7758732400622002,0.011342155009451797,0.32538855004616857,0.856,4/4,25.05%,LRP2;SOX8;CHODL;VEGFA
prerank,GO_Biological_Process_2021__triglyceride metabolic process (GO:0006641),-0.6271179211044534,-1.7699033180570893,0.006109979633401222,0.5891229316860614,0.897,5/6,26.04%,FABP5;FABP3;CETP;LIPG;FABP7
prerank,GO_Biological_Process_2021__cholesterol metabolic process (GO:0008203),-0.7294589178356713,-1.7504621709969401,0.01616161616161616,0.5923318211381766,0.926,4/4,27.83%,ACAT2;CETP;HMGCR;MSMO1
prerank,GO_Biological_Process_2021__maintenance of synapse structure (GO:0099558),-0.7334669338677354,-1.7477780580447289,0.016877637130801686,0.5307977194285809,0.928,4/4,27.44%,CBLN1;CBLN2;DCTN1;ERC2
prerank,GO_Biological_Process_2021__triglyceride catabolic process (GO:0019433),-0.7474949899799599,-1.7430916020473741,0.015873015873015872,0.44077013797031667,0.933,4/4,26.04%,FABP5;FABP3;LIPG;FABP7
prerank,GO_Biological_Process_2021__acylglycerol catabolic process (GO:0046464),-0.7474949899799599,-1.7430916020473741,0.015873015873015872,0.44077013797031667,0.933,4/4,26.04%,FABP5;FABP3;LIPG;FABP7
prerank,GO_Biological_Process_2021__plasma membrane bounded cell projection assembly (GO:0120031),0.4297436486753834,1.7426051968756673,0.025878003696857672,0.3834281365275031,0.915,10/14,33.60%,OPHN1;BBS5;EXOC8;MAK;TMEM237;CEP19;EXOC5;MYLK;EXOC6;SSX2IP
prerank,GO_Biological_Process_2021__negative regulation of secretion by cell (GO:1903531),-0.7374749498997996,-1.7416756130170534,0.014256619144602852,0.4045985283156675,0.934,4/4,27.04%,TRH;LIF;SYT4;HMGCR
prerank,GO_Biological_Process_2021__bone development (GO:0060348),0.9660678642714571,1.737416848932651,0.001937984496124031,0.3165171154229093,0.925,2/2,3.78%,LTF;CYP26B1
prerank,GO_Biological_Process_2021__bone morphogenesis (GO:0060349),0.9660678642714571,1.737416848932651,0.001937984496124031,0.3165171154229093,0.925,2/2,3.78%,LTF;CYP26B1
prerank,GO_Biological_Process_2021__skeletal system morphogenesis (GO:0048705),0.9660678642714571,1.737416848932651,0.001937984496124031,0.3165171154229093,0.925,2/2,3.78%,LTF;CYP26B1
prerank,GO_Biological_Process_2021__regulation of G2/M transition of mitotic cell cycle (GO:0010389),-0.5786290322580645,-1.730402018720159,0.015086206896551725,0.4071278492371178,0.942,7/7,43.14%,PSMB9;PSMB8;CDC7;DCTN1;DCTN3;PPP2R1A;OFD1
prerank,GO_Biological_Process_2021__cholesterol homeostasis (GO:0042632),-0.804,-1.7209104268776942,0.004098360655737705,0.3318283410710051,0.954,3/3,20.28%,FABP3;CETP;LIPG
prerank,GO_Biological_Process_2021__lipid homeostasis (GO:0055088),-0.804,-1.7209104268776942,0.004098360655737705,0.3318283410710051,0.954,3/3,20.28%,FABP3;CETP;LIPG
prerank,GO_Biological_Process_2021__sterol homeostasis (GO:0055092),-0.804,-1.7209104268776942,0.004098360655737705,0.3318283410710051,0.954,3/3,20.28%,FABP3;CETP;LIPG
prerank,GO_Biological_Process_2021__phospholipid homeostasis (GO:0055091),-0.804,-1.7209104268776942,0.004098360655737705,0.3318283410710051,0.954,3/3,20.28%,FABP3;CETP;LIPG
prerank,GO_Biological_Process_2021__nitrogen compound transport (GO:0071705),0.572389225943263,1.7036850022467345,0.02376599634369287,0.396108156648617,0.965,4/7,11.53%,SLC6A6;LRP2;LRP1B;SLC3A1
